TERM	DOID
"angiosarcoma"	"DOID0001816"
"hemangiosarcoma"	"DOID0001816"
"pterygium"	"DOID0002116"
"disease of metabolism"	"DOID0014667"
"metabolic disease "	"DOID0014667"
"seminal vesicle acute gonorrhea"	"DOID0050004"
"chikungunya"	"DOID0050012"
"chikungunya fever"	"DOID0050012"
"carbohydrate metabolism disease"	"DOID0050013"
"human granulocytic anaplasmosis"	"DOID0050025"
"human granulocytic ehrlichiosis"	"DOID0050025"
"human monocytic ehrlichiosis"	"DOID0050026"
"mineral metabolism disease"	"DOID0050032"
"african tick-bite fever"	"DOID0050035"
"rickettsia africae spotted fever"	"DOID0050035"
"south african tick-bite fever"	"DOID0050035"
"astrakhan spotted fever"	"DOID0050041"
"indian tick typhus"	"DOID0050042"
"israeli tick typhus"	"DOID0050043"
"far eastern spotted fever"	"DOID0050046"
"rickettsia heilongjiangensis spotted fever"	"DOID0050046"
"flinders island spotted fever"	"DOID0050047"
"thai tick typhus"	"DOID0050047"
"japanese spotted fever"	"DOID0050050"
"oriental spotted fever"	"DOID0050050"
"rickettsia japonica spotted fever"	"DOID0050050"
"rickettsia parkeri spotted fever"	"DOID0050051"
"maculatum infection"	"DOID0050051"
"rocky mountain spotted fever"	"DOID0050052"
"oropharyngeal anthrax"	"DOID0050059"
"erysipeloid"	"DOID0050061"
"pestis minor"	"DOID0050068"
"adiaspiromycosis"	"DOID0050072"
"invasive aspergillosis"	"DOID0050073"
"keshan disease"	"DOID0050083"
"rhinotracheitis"	"DOID0050084"
"feline coryza"	"DOID0050084"
"feline influenza"	"DOID0050084"
"feline viral rhinotracheitis"	"DOID0050084"
"tinea barbae"	"DOID0050096"
"dermatophytosis of beard"	"DOID0050096"
"ectothrix infectious disease"	"DOID0050097"
"endothrix infectious disease"	"DOID0050105"
"tinea imbricata"	"DOID0050116"
"disease by infectious agent"	"DOID0050117"
"infectious disease"	"DOID0050117"
"la crosse encephalitis"	"DOID0050118"
"california encephalitis"	"DOID0050118"
"california virus encephalitis"	"DOID0050118"
"neuroinvasive california encephalitis virus infection"	"DOID0050118"
"hemophagocytic lymphohistiocytosis"	"DOID0050120"
"haemophagocytic syndrome"	"DOID0050120"
"hemophagocytic syndrome"	"DOID0050120"
"hps"	"DOID0050120"
"dengue shock syndrome"	"DOID0050125"
"dss"	"DOID0050125"
"sinusitis"	"DOID0050127"
"secretory diarrhea"	"DOID0050129"
"osmotic diarrhea"	"DOID0050130"
"motility-related diarrhea"	"DOID0050131"
"inflammatory diarrhea"	"DOID0050132"
"superficial mycosis"	"DOID0050133"
"piedra"	"DOID0050133"
"steroid-modified tinea infection"	"DOID0050133"
"cutaneous mycosis"	"DOID0050134"
"subcutaneous mycosis"	"DOID0050135"
"systemic mycosis"	"DOID0050136"
"podoconiosis"	"DOID0050138"
"acute diarrhea"	"DOID0050140"
"intestinal botulism"	"DOID0050141"
"asymptomatic dengue"	"DOID0050143"
"kartagener syndrome"	"DOID0050144"
"kartagener's syndrome"	"DOID0050144"
"adenoiditis"	"DOID0050145"
"chronic adenoiditis"	"DOID0050145"
"otomycosis"	"DOID0050147"
"singapore ear"	"DOID0050147"
"laryngotracheitis"	"DOID0050148"
"pontiac fever"	"DOID0050150"
"aspiration pneumonia"	"DOID0050152"
"pulmonary aspergilloma"	"DOID0050153"
"sensory system disease"	"DOID0050155"
"idiopathic pulmonary fibrosis"	"DOID0050156"
"cryptogenic fibrosing alveolitis"	"DOID0050156"
"fibrocystic pulmonary dysplasia"	"DOID0050156"
"idiopathic pulmonary fibrosis, familial"	"DOID0050156"
"cryptogenic organizing pneumonia"	"DOID0050157"
"cryptogenic organizing pneumonitis"	"DOID0050157"
"idiopathic bronchiolitis obliterans with organizing pneumonia"	"DOID0050157"
"desquamative interstitial pneumonia"	"DOID0050158"
"desquamative interstitial pneumonia"	"DOID0050158"
"familial desquamative interstitial pneumonitis"	"DOID0050158"
"rbild"	"DOID0050158"
"respiratory bronchiolitis-associated interstitial lung disease"	"DOID0050158"
"lymphoid interstitial pneumonia"	"DOID0050159"
"inhalation anthrax"	"DOID0050160"
"pulmonary anthrax"	"DOID0050160"
"respiratory anthrax"	"DOID0050160"
"wool-sorters' disease"	"DOID0050160"
"woolsorters' disease"	"DOID0050160"
"lower respiratory tract disease"	"DOID0050161"
"tuberculous salpingitis"	"DOID0050166"
"autoimmune polyendocrine syndrome type 1"	"DOID0050167"
"autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy"	"DOID0050167"
"autoimmune polyglandular syndrome i"	"DOID0050167"
"whitaker syndrom"	"DOID0050167"
"autoimmune polyendocrine syndrome type 2"	"DOID0050168"
"schmidt syndrome"	"DOID0050168"
"cutaneous lupus erythematosus"	"DOID0050169"
"kunjin encephalitis"	"DOID0050174"
"tick-borne encephalitis"	"DOID0050175"
"central european encephalitis"	"DOID0050175"
"far eastern tbe"	"DOID0050175"
"russian spring-summer encephalitis"	"DOID0050175"
"siberian tick-borne encephalitis"	"DOID0050175"
"taiga encephalitis"	"DOID0050175"
"west-siberian encephalitis"	"DOID0050175"
"western european tick-borne encephalitis"	"DOID0050175"
"monogenic disease"	"DOID0050177"
"powassan encephalitis"	"DOID0050179"
"erythema multiforme"	"DOID0050185"
"argentine hemorrhagic fever"	"DOID0050194"
"bolivian hemorrhagic fever"	"DOID0050195"
"venezuelan hemorrhagic fever"	"DOID0050196"
"brazilian hemorrhagic fever"	"DOID0050197"
"chapare hemorrhagic fever"	"DOID0050198"
"whitewater arroyo hemorrhagic fever"	"DOID0050199"
"korean hemorrhagic fever"	"DOID0050200"
"nephropathia epidemica"	"DOID0050201"
"lujo hemorrhagic fever"	"DOID0050202"
"epstein-barr virus hepatitis"	"DOID0050204"
"swine influenza"	"DOID0050211"
"lambert-eaton myasthenic syndrome"	"DOID0050214"
"eaton-lambert syndrome"	"DOID0050214"
"lambert-eaton syndrome"	"DOID0050214"
"lems"	"DOID0050214"
"polycystic echinococcosis"	"DOID0050218"
"human polycystic hydatid disease"	"DOID0050218"
"neotropical echinococcosis"	"DOID0050218"
"selective igm deficiency disease"	"DOID0050222"
"primary amebic meningoencephalitis"	"DOID0050242"
"naegleria fowleri infection"	"DOID0050242"
"granulomatous amebic encephalitis"	"DOID0050246"
"acanthamoeba encephalitis"	"DOID0050246"
"acanthamoeba granulomatous encephalitis"	"DOID0050246"
"granulomatous amebic encephalitis due to acanthamoeba"	"DOID0050246"
"granulomatous amoebic encephalitis"	"DOID0050246"
"philophthalmiasis"	"DOID0050250"
"coenurosis"	"DOID0050251"
"mesocestoidiasis"	"DOID0050253"
"acanthocephaliasis"	"DOID0050254"
"angiostrongyliasis"	"DOID0050256"
"baylisascariasis"	"DOID0050259"
"dioctophymiasis"	"DOID0050260"
"thelaziasis"	"DOID0050261"
"tungiasis"	"DOID0050266"
"ophthalmomyiasis"	"DOID0050268"
"basidiobolomycosis"	"DOID0050278"
"conidiobolomycosis"	"DOID0050279"
"penicilliosis"	"DOID0050288"
"fusariosis"	"DOID0050289"
"trichosporonosis"	"DOID0050290"
"parasitic ichthyosporea infectious disease"	"DOID0050291"
"primary systemic mycosis"	"DOID0050292"
"aniseikonia"	"DOID0050304"
"alkhurma hemorrhagic fever"	"DOID0050308"
"congenital hypothyroidism"	"DOID0050328"
"cretinism"	"DOID0050328"
"ladd syndrome"	"DOID0050331"
"lacrimoauriculodentodigital syndrome"	"DOID0050331"
"levy-hollister syndrome"	"DOID0050331"
"enlarged vestibular aqueduct"	"DOID0050332"
"bradyopsia"	"DOID0050335"
"prolonged electroretinal response suppression"	"DOID0050335"
"hypophosphatemia"	"DOID0050336"
"primary bacterial infectious disease"	"DOID0050338"
"commensal bacterial infectious disease"	"DOID0050339"
"opportunistic bacterial infectious disease"	"DOID0050340"
"foodborne botulism"	"DOID0050352"
"wound botulism"	"DOID0050353"
"infant botulism"	"DOID0050354"
"glandular tularemia"	"DOID0050382"
"typhoidal tularemia"	"DOID0050383"
"nonpapillary renal cell carcinoma"	"DOID0050387"
"carrion's disease"	"DOID0050398"
"carrion disease"	"DOID0050398"
"oroya fever"	"DOID0050398"
"complement factor i deficiency"	"DOID0050419"
"c3 inactivator deficiency"	"DOID0050419"
"complement component 3 inactivator deficiency"	"DOID0050419"
"familial adenomatous polyposis"	"DOID0050424"
"adenomatous polyposis of the colon"	"DOID0050424"
"restless legs syndrome"	"DOID0050425"
"wed"	"DOID0050425"
"willis-ekbom disease"	"DOID0050425"
"wittmaack-ekbom syndrome"	"DOID0050425"
"stevens-johnson syndrome"	"DOID0050426"
"xeroderma pigmentosum"	"DOID0050427"
"nonepidermolytic palmoplantar keratoderma"	"DOID0050428"
"diffuse nonepidermolytic palmomplantar keratoderma"	"DOID0050428"
"thost-unna syndrome"	"DOID0050428"
"tylosis"	"DOID0050428"
"unna-thost syndrome"	"DOID0050428"
"hailey-hailey disease"	"DOID0050429"
"benign chronic pemphigus"	"DOID0050429"
"pemphigus, benign familial"	"DOID0050429"
"multiple endocrine neoplasia type 2a"	"DOID0050430"
"men2a"	"DOID0050430"
"multiple endocrine neoplasia ii"	"DOID0050430"
"sipple syndrome"	"DOID0050430"
"arrhythmogenic right ventricular cardiomyopathy"	"DOID0050431"
"arrhythmogenic right ventricular dysplasia"	"DOID0050431"
"arrhythmogenic right ventricular dysplasia/cardiomyopathy"	"DOID0050431"
"arvc"	"DOID0050431"
"arvc cardiomyopathy"	"DOID0050431"
"arvd"	"DOID0050431"
"asperger syndrome"	"DOID0050432"
"fatal familial insomnia"	"DOID0050433"
"andersen-tawil syndrome"	"DOID0050434"
"andersen cardiodysrhythmic periodic paralysis"	"DOID0050434"
"andersen syndrome "	"DOID0050434"
"long qt syndrome 7"	"DOID0050434"
"mulibrey nanism"	"DOID0050436"
"muscle-liver-brain-eye nanism"	"DOID0050436"
"perheentupa syndrome"	"DOID0050436"
"pericardial constriction and growth failure"	"DOID0050436"
"danon disease"	"DOID0050437"
"antopol disease"	"DOID0050437"
"pseudoglycogenosis ii"	"DOID0050437"
"frasier syndrome"	"DOID0050438"
"usher syndrome"	"DOID0050439"
"familial partial lipodystrophy"	"DOID0050440"
"dunnigan syndrome"	"DOID0050440"
"koberling-dunnigan syndrome"	"DOID0050440"
"mucosulfatidosis"	"DOID0050441"
"multiple sulfatase deficiency disease"	"DOID0050441"
"sulfatidosis, juvenile, austin type"	"DOID0050441"
"infantile refsum disease"	"DOID0050444"
"infantile phytanic acid storage disease"	"DOID0050444"
"x-linked hypophosphatemic rickets"	"DOID0050445"
"hypophosphatemia, vitamin d-resistant rickets"	"DOID0050445"
"hypophosphatemic rickets x-linked dominant"	"DOID0050445"
"rickets, vitamin d-resistant"	"DOID0050445"
"vitamin d-resistant rickets, x-linked"	"DOID0050445"
"x-linked hypophosphatemia"	"DOID0050445"
"hereditary mucosal leukokeratosis"	"DOID0050448"
"white sponge nevus"	"DOID0050448"
"white sponge nevus of cannon"	"DOID0050448"
"pachyonychia congenita"	"DOID0050449"
"jackson-lawler type pachyonychia congenita"	"DOID0050449"
"jadassohn-lewandowsky syndrome"	"DOID0050449"
"pachyonychia congenita type 1"	"DOID0050449"
"pachyonychia congenita, jadassohn-lewandowsky type"	"DOID0050449"
"gitelman syndrome"	"DOID0050450"
"hypomagnesemia-hypokalemia, primary renotubular, with hypocalciuria"	"DOID0050450"
"brugada syndrome"	"DOID0050451"
"mevalonic aciduria"	"DOID0050452"
"mevalonate kinase deficiency"	"DOID0050452"
"lissencephaly"	"DOID0050453"
"periventricular nodular heterotopia"	"DOID0050454"
"periventricular heterotopia"	"DOID0050454"
"buruli ulcer disease"	"DOID0050456"
"bairnsdale ulcer"	"DOID0050456"
"daintree ulcer"	"DOID0050456"
"mossman ulcer"	"DOID0050456"
"searl ulcer"	"DOID0050456"
"searle's ulcer"	"DOID0050456"
"sertoli cell-only syndrome"	"DOID0050457"
"del castillo syndrome"	"DOID0050457"
"germinal cell aplasia"	"DOID0050457"
"juvenile myelomonocytic leukemia"	"DOID0050458"
"hyperphosphatemia"	"DOID0050459"
"wolf-hirschhorn syndrome"	"DOID0050460"
"4p deletion syndrome"	"DOID0050460"
"chromosome 4p16.3 deletion syndrome"	"DOID0050460"
"pitt syndrome"	"DOID0050460"
"pitt-rogers-danks syndrome"	"DOID0050460"
"aspartylglucosaminuria"	"DOID0050461"
"aspartylglucosaminidase deficiency"	"DOID0050461"
"aspartylglycosaminuria"	"DOID0050461"
"glycosylasparaginase deficiency"	"DOID0050461"
"antley-bixler syndrome"	"DOID0050462"
"trapezoidocephaly-synostosis syndrome"	"DOID0050462"
"campomelic dysplasia"	"DOID0050463"
"acampomelic campomelic dysplasia"	"DOID0050463"
"farber lipogranulomatosis"	"DOID0050464"
"acid ceramidase deficiency"	"DOID0050464"
"farber disease"	"DOID0050464"
"n-laurylsphingosine deacylase deficiency"	"DOID0050464"
"muir-torre syndrome"	"DOID0050465"
"loeys-dietz syndrome"	"DOID0050466"
"erythrokeratodermia variabilis"	"DOID0050467"
"erythrokeratodermia figurata variabilis"	"DOID0050467"
"greither disease"	"DOID0050467"
"yellow nail syndrome"	"DOID0050468"
"costello syndrome"	"DOID0050469"
"faciocutaneoskeletal syndrome"	"DOID0050469"
"fcs syndrome"	"DOID0050469"
"donohue syndrome"	"DOID0050470"
"leprechaunism"	"DOID0050470"
"carney complex"	"DOID0050471"
"carney complex, type 1"	"DOID0050471"
"carney complex, type 2"	"DOID0050471"
"carney syndrome"	"DOID0050471"
"lamb syndrome"	"DOID0050471"
"name syndrome"	"DOID0050471"
"monilethrix"	"DOID0050472"
"alstrom syndrome"	"DOID0050473"
"netherton syndrome"	"DOID0050474"
"weill-marchesani syndrome"	"DOID0050475"
"congenital mesodermal dystrophy"	"DOID0050475"
"gemss syndrome"	"DOID0050475"
"marchesani-weill syndrome"	"DOID0050475"
"mesodermal dysmorphodystrophy, congenital"	"DOID0050475"
"spherophakia brachymorphia syndrome"	"DOID0050475"
